Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,Under 1 year,4,"4,258",37,1,11,51,
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,1-4 years,2,832,33,2,35,68,
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,5-14 years,6,"1,223",41,0,43,90,
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,15-24 years,59,"7,452",157,21,42,234,
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,25-34 years,388,"15,975",556,170,135,896,
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,35-44 years,973,"22,887","1,240",387,214,"2,016",
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,45-54 years,"2,772","44,291","3,310","1,154",529,"5,361",
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,55-64 years,"6,725","106,004","9,537","2,996","1,136","14,201",
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,65-74 years,"11,524","164,217","16,378","5,155","1,334","23,865",
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,75-84 years,"14,930","206,121","21,649","6,788","1,357","30,970",
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes,85 years and over,"17,478","262,347","25,328","7,473","1,274","36,457",
05/13/2020,02/01/2020,05/09/2020,United States,All Sexes Total,All Ages,"54,861","835,607","78,266","24,147","6,110","114,209",
05/13/2020,02/01/2020,05/09/2020,United States,Male,Under 1 year,2,"2,351",25,1,5,31,
05/13/2020,02/01/2020,05/09/2020,United States,Male,1-4 years,1,469,18,1,20,38,
05/13/2020,02/01/2020,05/09/2020,United States,Male,5-14 years,4,722,19,0,18,41,
05/13/2020,02/01/2020,05/09/2020,United States,Male,15-24 years,39,"5,497",96,14,22,140,
05/13/2020,02/01/2020,05/09/2020,United States,Male,25-34 years,270,"11,089",342,120,70,553,
05/13/2020,02/01/2020,05/09/2020,United States,Male,35-44 years,710,"14,932",805,285,115,"1,327",
05/13/2020,02/01/2020,05/09/2020,United States,Male,45-54 years,"1,970","27,507","2,045",831,313,"3,431",
05/13/2020,02/01/2020,05/09/2020,United States,Male,55-64 years,"4,490","64,903","5,808","1,994",648,"8,815",
05/13/2020,02/01/2020,05/09/2020,United States,Male,65-74 years,"7,259","95,229","9,764","3,230",737,"14,392",
05/13/2020,02/01/2020,05/09/2020,United States,Male,75-84 years,"8,369","107,132","11,971","3,836",669,"17,069",
05/13/2020,02/01/2020,05/09/2020,United States,Male,85 years and over,"7,273","101,861","11,205","3,324",518,"15,599",
05/13/2020,02/01/2020,05/09/2020,United States,Male Total,"Male, all ages","30,387","431,692","42,098","13,636","3,135","61,436",
05/13/2020,02/01/2020,05/09/2020,United States,Female,Under 1 year,2,"1,901",12,0,6,20,
05/13/2020,02/01/2020,05/09/2020,United States,Female,1-4 years,1,363,15,1,15,30,
05/13/2020,02/01/2020,05/09/2020,United States,Female,5-14 years,2,501,22,0,25,49,
05/13/2020,02/01/2020,05/09/2020,United States,Female,15-24 years,20,"1,954",61,7,20,94,
05/13/2020,02/01/2020,05/09/2020,United States,Female,25-34 years,118,"4,885",214,50,65,343,
05/13/2020,02/01/2020,05/09/2020,United States,Female,35-44 years,263,"7,951",435,102,99,689,
05/13/2020,02/01/2020,05/09/2020,United States,Female,45-54 years,802,"16,783","1,265",323,216,"1,930",
05/13/2020,02/01/2020,05/09/2020,United States,Female,55-64 years,"2,235","41,100","3,729","1,002",488,"5,386",
05/13/2020,02/01/2020,05/09/2020,United States,Female,65-74 years,"4,265","68,985","6,614","1,925",597,"9,473",
05/13/2020,02/01/2020,05/09/2020,United States,Female,75-84 years,"6,561","98,986","9,678","2,952",688,"13,901",
05/13/2020,02/01/2020,05/09/2020,United States,Female,85 years and over,"10,204","160,475","14,122","4,148",756,"20,857",
05/13/2020,02/01/2020,05/09/2020,United States,Female Total,"Female, all ages","24,473","403,884","36,167","10,510","2,975","52,772",
05/13/2020,02/01/2020,05/09/2020,United States,Unknown,All ages,1,31,1,1,0,1,
05/13/2020,02/01/2020,05/09/2020,United States Total,All sexes,All Ages,"54,861","835,607","78,266","24,147","6,110","114,209",
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,Under 1 year,0,40,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,5-14 years,0,17,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,15-24 years,0,104,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
